"doi","publication_date","title","financial_disclosure","grants","Id","grant_title"
"10.1371/journal.pgen.1002137","2011-07-07","Translation Reinitiation Relies on the Interaction between eIF3a/TIF32 and Progressively Folded cis-Acting mRNA Elements Preceding Short uORFs","This research was supported for the most part by The Wellcome Trust Grants 076456/Z/05/Z and 090812/B/09/Z, and partly also by the Howard Hughes Medical Institute and Inst. Research Concept AV0Z50200510 to LSV and by Czech Science Foundation 303/09/0475 to JP. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","76456;90812",76456,"In depth analysis of the interactions between the Multifactor Complex (MFC) composed of elFs 1, 3, 5 and elF2-GTP-Met-tRNAiMet and the 40S ribosomal subunit and their physiological importance for the regulation of eukaryotic"
"10.1371/journal.pgen.1002139","2011-06-30","Maps of Open Chromatin Guide the Functional Follow-Up of Genome-Wide Association Signals: Application to Hematological Traits","This work was supported by the Wellcome Trust (091746/Z/10/Z). DSP is a Marie Curie Training Fellow and supported by NetSim (215820). SM is supported by the National Institute for Health Research (NIHR) Cambridge Biomedical Research Centre. AR is funded by the British Heart Foundation Program Grant RG/09/12/28096. MRT is funded by a Marie Curie Intra-European Fellowship (237296), and BG by Leukaemia and Lymphoma Research and the NIHR Cambridge Biomedical Research Centre. WHO is supported by a NIHR Program Grant to NHSBT (RP-PG-0310-1002). The Cardiogenics and MuTHER consortia are funded under grants from the European Commission through the FP6 (LSHM-CT-2006-037593) and the Wellcome Trust (081917/Z/07/Z), respectively. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","91746;28096;37593;81917",91746,"Genomics of quantitative variation."
"10.1371/journal.pgen.1002139","2011-06-30","Maps of Open Chromatin Guide the Functional Follow-Up of Genome-Wide Association Signals: Application to Hematological Traits","This work was supported by the Wellcome Trust (091746/Z/10/Z). DSP is a Marie Curie Training Fellow and supported by NetSim (215820). SM is supported by the National Institute for Health Research (NIHR) Cambridge Biomedical Research Centre. AR is funded by the British Heart Foundation Program Grant RG/09/12/28096. MRT is funded by a Marie Curie Intra-European Fellowship (237296), and BG by Leukaemia and Lymphoma Research and the NIHR Cambridge Biomedical Research Centre. WHO is supported by a NIHR Program Grant to NHSBT (RP-PG-0310-1002). The Cardiogenics and MuTHER consortia are funded under grants from the European Commission through the FP6 (LSHM-CT-2006-037593) and the Wellcome Trust (081917/Z/07/Z), respectively. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","91746;28096;37593;81917",81917,"Whole-genome transcriptomic profiling: A resource for the discovery of expression QTLs associated with common disease."
"10.1371/journal.pgen.1002142","2011-06-30","A Two-Stage Meta-Analysis Identifies Several New Loci for Parkinson's Disease","This work was supported in part by the Wellcome Trust/MRC Joint Call in Neurodegeneration award (WT089698) to the UK Parkinson's Disease Consortium (UKPDC), whose members are from the UCL/Institute of Neurology, the University of Sheffield, and the MRC Protein Phosphorylation Unit at the University of Dundee. Additionally, part of the study was undertaken at UCLH/UCL using funding through a Department of Health NIHR Biomedical Research Centre. This work was also supported by Parkinson's UK (Grants 8047 and J-0804) and the Medical Research Council (G0700943). Genotyping of UK replication cases on Immunochip was part of the Wellcome Trust Case Control Consortium 2 project which is funded by the Wellcome Trust (085475/B/08/Z and 085475/Z/08/Z). P Damier is partly supported by a Wolfson-Royal Society Merit award. The UK gene expression work was supported in part by the UK Medical Research Council (G0901254) to researchers based in the UCL Institute of Neurology and King's College London. J Holton receives support from the Reta Lila Weston Trust for Medical Research. This work was also supported by the Landspitali University Hospital Research Fund (S Sveinbjörnsdóttir), the Icelandic Research Council (S Sveinbjörnsdóttir), the European Community Framework Programme 7, People programme, IAPP on novel genetic and phenotypic markers of Parkinson's disease, and Essential Tremor (MarkMD), contract no PIAP-GA-2008-230596 MarkMD (H Pétursson, J Holton). This US work was supported in part by the Intramural Research Programs of the National Institute on Aging, National Institute of Neurological Disorders and Stroke, National Institute of Environmental Health Sciences, National Human Genome Research Institute, National Institutes of Health, Department of Health and Human Services; project numbers Z01 AG000949-02 and Z01-ES101986. In addition this study was supported by the US Department of Defense, award number W81XWH-09-2-0128. Funding to support collection of a portion of the samples was obtained from the National Institutes of Health (grants NS057105 and RR024992), the American Parkinson Disease Association (APDA), Barnes Jewish Hospital Foundation, and the Greater St. Louis Chapter of the APDA. The KORA research platform (KORA: Cooperative Research in the Region of Augsburg; http://www.gsf.de/KORA) was initiated and financed by the ForschungszentrumfürUmwelt und Gesundheit (GSF), which is funded by the German Federal Ministry of Education, Science, Research, and Technology and by the State of Bavaria. The study was additionally funded by the German National Genome Network (NGFNplus #01GS08134; German Ministry for Education and Research) and by the German Federal Ministry of Education and Research (BMBF) NGFN (01GR0468) and in the frame of ERA-Net NEURON (01GW0908). This work was also supported by the Helmholtz Alliance Mental Health in an Ageing Society (HelMA, HA-215) funded by the Initiative and Networking Fund of the Helmholtz Association. The French GWA scan work was supported by the French National Agency of Research (http://www.agence-nationale-recherche.fr, ANR-08-MNP-012) and by the National Research Funding Agency (ANR-08-NEUR-004-01) in ERA-NET NEURON framework (http://www.neuron-eranet.eu). We also want to thank the Hersenstichting Nederland (http://www.hersenstichting.nl), the Neuroscience Campus Amsterdam and the section of Medical genomics, the Prinses Beatrix Fonds (http://www.prinsesbeatrixfonds.nl) for sponsoring this work. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","89698;85475",89698,"A systematic investigation into the pathogenesis and course of Parkinson's syndrome."
"10.1371/journal.pgen.1002145","2011-07-07","Foxp2 Regulates Gene Networks Implicated in Neurite Outgrowth in the Developing Brain","This work was supported by the Wellcome Trust (grant numbers 075491 and 080971), the Royal Society (fellowship to SEF), Autism Speaks, the Simons Foundation Autism Research Initiative (SFARI, grant number 137593 to SEF), and the Max Planck Society. SCV was supported by the Christopher Welch Biological Sciences Scholarship and the Wellcome Trust V.I.P programme. JN was supported by a Marie Curie Intra-European Fellowship.  HEL, NS, JBC, DB and JR were supported by the Wellcome Trust Core Grant Award (grant number 075491/Z/04). MG and CM are supported by the Ecole des Neurosciences de Paris Ile-de-France (ENP) and the Inserm AVENIR programme. This research was supported in part by National Institutes of Health (NIH) grant 5R21MH075028. ES was supported by NIH grant T32GM008243. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","75491;80971",80971,"Uncovering the functions of the Foxp2 gene in the mammalian central nervous system."
"10.1371/journal.pgen.1002216","2011-08-04","Genome-Wide Association Analysis of Autoantibody Positivity in Type 1 Diabetes Cases","This work was supported by the Wellcome Trust (WT061858), the Juvenile Diabetes Research Foundation (JDRF 9-2005-25), and the UK National Institute for Health Research (NIHR, RG52731). We acknowledge use of the DNA from the British 1958 Birth Cohort collection, funded by the Medical Research Council and Wellcome Trust. The Cambridge Institute for Medical Research is the recipient of a Wellcome Trust Strategic Award (079895). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","61858;79895",61858,"JDRF/WT Diabetes and Inflammation Laboratory."
"10.1371/journal.pgen.1002265","2011-09-01","An Iterative Genetic and Dynamical Modelling Approach Identifies Novel Features of the Gene Regulatory Network Underlying Melanocyte Development","We gratefully acknowledge the following for funding that contributed to this work: the BBSRC (Committee Studentship, ERG), the MRC (G0300415), the Wellcome Trust (066326, 083770/Z/07/Z and 087870/Z/08/Z, MN), and the University of Bath (LV). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","66326;83770;87870",66326,"Zebrafish facility, including refurbishment of room and 5 year maintenance contract."
"10.1371/journal.pgen.1002300","2011-09-29","Identification of Type 1 Diabetes–Associated DNA Methylation Variable Positions That Precede Disease Diagnosis","This work was supported by the Juvenile Diabetes Research Foundation International, the British Diabetic Twin Trust, the National Institute for Health Research Cambridge Biomedical Centre, and the Mary Kinross Trust. VKR was supported by a NHMRC of Australia CJ Martin Fellowship and the Barts and The London Charity. HB was supported by a Wellcome Trust (VIP) award. TAD is supported by a Wellcome Trust Research Career Development Fellowship (083563). The CIMR is in receipt of a Wellcome Trust Strategic Award (079895). CGB and SB were supported by the Wellcome Trust (084071), and SB is recipient of a Royal Society Wolfson Research Merit Award. BM and BOB were supported by DFG (GrK1041) and Center of Excellence. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","83563;79895;84071",83563,"Discovery and annotation of regulatory elements in metazoan genomes."
"10.1371/journal.pgen.1002300","2011-09-29","Identification of Type 1 Diabetes–Associated DNA Methylation Variable Positions That Precede Disease Diagnosis","This work was supported by the Juvenile Diabetes Research Foundation International, the British Diabetic Twin Trust, the National Institute for Health Research Cambridge Biomedical Centre, and the Mary Kinross Trust. VKR was supported by a NHMRC of Australia CJ Martin Fellowship and the Barts and The London Charity. HB was supported by a Wellcome Trust (VIP) award. TAD is supported by a Wellcome Trust Research Career Development Fellowship (083563). The CIMR is in receipt of a Wellcome Trust Strategic Award (079895). CGB and SB were supported by the Wellcome Trust (084071), and SB is recipient of a Royal Society Wolfson Research Merit Award. BM and BOB were supported by DFG (GrK1041) and Center of Excellence. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","83563;79895;84071",84071,"Genetics of the MHC and LRC."
"10.1371/journal.pgen.1002333","2011-10-20","A Genome-Wide Screen for Interactions Reveals a New Locus on 4p15 Modifying the Effect of Waist-to-Hip Ratio on Total Cholesterol","This research was supported through funds from The European Community's Seventh Framework Programme (FP7/2007–2013), ENGAGE Consortium, grant agreement HEALTH-F4-2007-201413. SR was supported by the Academy of Finland Center of Excellence in Complex Disease Genetics (213506 and 129680), Academy of Finland (251217), the Finnish foundation for Cardiovascular Research, and the Sigrid Juselius Foundation. The ATFS cohort was funded by the Australian National Health and Medical Research Council (241944, 339462, 389927, 389875, 389891, 389892, 389938, 442915, 442981, 496739, 552485, 552498), the Australian Research Council (A7960034, A79906588, A79801419, DP0770096, DP0212016, DP0343921), the EU 5th Framework Programme GenomEUtwin Project (QLG2-CT-2002-01254), and the U.S. National Institutes of Health (AA07535, AA10248, AA11998, AA13320, AA13321, AA13326, AA14041, AA17688, DA12854, MH66206). RPSM and GWM are supported by National Health and Medical Research Council (NHMRC) Fellowship Schemes. Special Population Research Network (EUROSPAN) was supported b' European Commission FP6 STRP grant number 018947 (LSHG-CT-2006-01947). In South Tyrol, the MICROS Study was supported by the Ministry of Health of the Autonomous Province of Bolzano and the South Tyrolean Sparkasse Foundation. The Vis Study in the Croatian island of Vis was supported through the grants from the Medical research Council UK to HC and IR and from the Ministry of Science, Education, and Sport of the Republic of Croatia to IR (number 108-1080315-0302). Erasmus Ruchpen Family (ERF) was supported by grants from The Netherlands Organization for Scientific Research (NOW; Pionier Grant), Erasmus MC, and the Netherlands Genomics Initiative (NGI)–sponsored Center for Medical Systems Biology (CMSB). The Northern Swedish Population Health Study (NSPHS) was funded by the Swedish Medical Research Council (Project Number K2007-66X-20270-01-3) and the Foundation for Strategic Research (SSF). The KORA research platform was initiated and financed by the Helmholtz Center Munich, German Research Center for Environmental Health, which is funded by the German Federal Ministry of Education and Research (BMBF) and by the State of Bavaria. Part of this work was financed by the German National Genome Research Network (NGFN-2 and NGFNPlus: 01GS0823) and by the “Genomics of Lipid-associated Disorders - GOLD” of the “Austrian Genome Research Programme GEN-AU.” The KORA research was supported within the Munich Center of Health Sciences (MC Health) as part of LMUinnovativ. The Northern Finland Birth Cohort 1966 received financial support from the Academy of Finland (project grants 104781, 120315, 129269 (SALVE), 114194, and Center of Excellence in Complex Disease Genetics), University Hospital Oulu, Biocenter, University of Oulu, Finland, NHLBI grant 5R01HL087679 through the STAMPEED program (1RL1MH083268-01), ENGAGE project and grant agreement HEALTH-F4-2007-201413, the Medical Research Council (grant G0500539, centre grant G0600705, PrevMetSyn), and the Wellcome Trust (project grant GR069224), UK. The genotyping of NFBC1966 was funded by NHLBI grant 5R01HL087679, the Academy of Finland, and Biocentrum Helsinki. Helsinki Birth Cohort Study has been supported by grants from Academy of Finland (project numbers 114382, 126775, 127437, 129255, 129306, 130326, 209072, 210595, 213225, 216374), Finnish Diabetes Research Society, Samfundet Folkhälsan, Juho Vainio Foundation, Novo Nordisk Foundation, Finska Läkaresällskapet, Päivikki and Sakari Sohlberg Foundation, Signe and Ane Gyllenberg Foundation, and Yrjö Jahnsson Foundation. The Young Finns Study has been financially supported by the Academy of Finland (grants 126925, 121584, and 124282), Finnish Cultural Foundation, Emil Aaltonen Foundation, the Social Institution of Finland, Kuopio, Tampere (grants for TL and MK) and Turku University Hospital Medical Funds, Juho Vainio Foundation, Paavo Nurmi Foundation, Finnish Foundation of Cardiovascular Research (TL and OTR). The GenomEUtwin project is supported by the European Commission under the programme ‘Quality of Life and Management of the Living Resources’ of 5th Framework Programme (no. QLG2-CT-2002-01254). JK has been supported by the Academy of Finland Centre of Excellence in Complex Disease Genetics. The Swedish Twin Cohort has been financially supported by the Swedish Research Council and Swedish Foundation for Strategic Research. The Danish Twin Registry has been supported by the Danish Medical Research Council, the Danish Diabetes Foundation, the Danish Heart Association, and the Novo Nordic Foundation. The TWINSUK study was funded by the Wellcome Trust (Grant ref. 079771); European Community's Seventh Framework Programme (FP7/2007-2013)/grant agreement HEALTH-F2-2008-ENGAGE and Framework 6 Project EUroClot. The study also receives support from the National Institute for Health Research (NIHR) comprehensive Biomedical Research Centre award to Guy's and St Thomas' NHS Foundation Trust in partnership with King's College London. NS acknowledges financial support from the Wellcome Trust (Grant 091746/Z/10/Z). NTR, NTR2, and NLDTWIN funding was obtained from the Netherlands Organization for Scientific Research (NWO: MagW/ZonMW): Genetic basis of anxiety and depression (904-61-090); Genetics of individual differences in smoking initiation and persistence (NWO 985-10-002); Resolving cause and effect in the association between exercise and well-being (904-61-193); Twin family database for behavior genomics studies (480-04-004); Twin research focusing on behavior (400-05-717); Genetic determinants of risk behavior in relation to alcohol use and alcohol use disorder (Addiction-31160008); Genotype/phenotype database for behavior genetic and genetic epidemiological studies (911-09-032); Spinozapremie (SPI 56-464-14192); CMSB: Center for Medical Systems Biology (NWO Genomics); NBIC/BioAssist/RK/2008.024); BBMRI –NL: Biobanking and Biomolecular Resources Research Infrastructure; the VU University: Institute for Health and Care Research (EMGO+) and Neuroscience Campus Amsterdam (NCA); the European Science Foundation (ESF): Genomewide analyses of European twin and population cohorts (EU/QLRT-2001-01254); European Community's Seventh Framework Program (FP7/2007-2013): ENGAGE (HEALTH-F4-2007-201413); the European Science Council (ERC) Genetics of Mental Illness (230374); Rutgers University Cell and DNA Repository cooperative agreement (NIMH U24 MH068457-06); Collaborative study of the genetics of DZ twinning (NIH R01D0042157-01A); the Genetic Association Information Network, a public–private partnership between the NIH and Pfizer, Affymetrix, and Abbott Laboratories. The generation and management of GWAS genotype data for the Rotterdam Study is supported by the Netherlands Organisation of Scientific Research NWO Investments (nr. 175.010.2005.011, 911-03-012). This study is funded by the Research Institute for Diseases in the Elderly (014-93-015; RIDE2), the Netherlands Genomics Initiative (NGI)/Netherlands Organisation for Scientific Research (NWO) project nr. 050-060-810. The Rotterdam Study is funded by Erasmus Medical Center and Erasmus University, Rotterdam, Netherlands Organization for the Health Research and Development (ZonMw), the Research Institute for Diseases in the Elderly (RIDE), the Ministry of Education, Culture and Science, the Ministry for Health, Welfare and Sports, the European Commission (DG XII), and the Municipality of Rotterdam. The LifeLines Cohort Study, and generation and management of GWAS genotype data for the LifeLines Cohort Study is supported by the Netherlands Organization of Scientific Research NWO (grant 175.010.2007.006), the Economic Structure Enhancing Fund (FES) of the Dutch government, the Ministry of Economic Affairs, the Ministry of Education, Culture and Science, the Ministry for Health, Welfare and Sports, the Northern Netherlands Collaboration of Provinces (SNN), the Province of Groningen, University Medical Center Groningen, the University of Groningen, Dutch Kidney Foundation and Dutch Diabetes Research Foundation. PREVEND genetics is supported by the Dutch Kidney Foundation (Grant E033), the EU project grant GENECURE (FP-6 LSHM CT 2006 037697), the National Institutes of Health (grant LM010098), The Netherlands organisation for health research and development (NWO VENI grant 916.761.70), and the Dutch Inter UniversityCardiology Institute Netherlands (ICIN). EGCUT was supported by the Estonian Ministry of E&R (SF0180142s08), EU FP7 OPENGENE (#245536) and ENGAGE (201413), by EurRDF grant to the Centre of Excellence in Genomics, Estonian Biocentre and University of Tartu and by Estoinian Research Infrastructure's Roadmap. Genmets was supported through funds from The European Community's Seventh Framework Programme (FP7/2007-2013), BioSHaRE Consortium, grant agreement 261433. VS was supported by the Sigrid Juselius Foundation, Finnish Foundation for Cardiovascular research, and the Finnish Academy (grant number 129494). The CoLaus study received financial contributions from GlaxoSmithKline, the Faculty of Biology and Medicine of Lausanne, and the Swiss National Science Foundation (33CSCO-122661). EPIC–Norfolk is supported by programme grants from the Medical Research Council UK (G9502233, G0300128) and Cancer Research UK (C865/A2883). Adipose Tissue eQTL dataset has been funded by Finnish Foundation for Cardiovascular Research, Helsinki University, Sigrid Juselius Foundation Central Hospital Research Foundation. Metabonomic datasets are supported by the Academy of Finland (grant number 137870 to PS) and the Responding to Public Health Challenges Research Programme of the Academy of Finland (grant number 129429 to MA-K), the Finnish Cardiovascular Research Foundation
(MA-K), and the Jenny and Antti Wihuri Foundation (AJK). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","18947;20270;79771;91746;14192;37697",79771,"TwinsUK Genetic Epidemiology Resource."
"10.1371/journal.pgen.1002333","2011-10-20","A Genome-Wide Screen for Interactions Reveals a New Locus on 4p15 Modifying the Effect of Waist-to-Hip Ratio on Total Cholesterol","This research was supported through funds from The European Community's Seventh Framework Programme (FP7/2007–2013), ENGAGE Consortium, grant agreement HEALTH-F4-2007-201413. SR was supported by the Academy of Finland Center of Excellence in Complex Disease Genetics (213506 and 129680), Academy of Finland (251217), the Finnish foundation for Cardiovascular Research, and the Sigrid Juselius Foundation. The ATFS cohort was funded by the Australian National Health and Medical Research Council (241944, 339462, 389927, 389875, 389891, 389892, 389938, 442915, 442981, 496739, 552485, 552498), the Australian Research Council (A7960034, A79906588, A79801419, DP0770096, DP0212016, DP0343921), the EU 5th Framework Programme GenomEUtwin Project (QLG2-CT-2002-01254), and the U.S. National Institutes of Health (AA07535, AA10248, AA11998, AA13320, AA13321, AA13326, AA14041, AA17688, DA12854, MH66206). RPSM and GWM are supported by National Health and Medical Research Council (NHMRC) Fellowship Schemes. Special Population Research Network (EUROSPAN) was supported b' European Commission FP6 STRP grant number 018947 (LSHG-CT-2006-01947). In South Tyrol, the MICROS Study was supported by the Ministry of Health of the Autonomous Province of Bolzano and the South Tyrolean Sparkasse Foundation. The Vis Study in the Croatian island of Vis was supported through the grants from the Medical research Council UK to HC and IR and from the Ministry of Science, Education, and Sport of the Republic of Croatia to IR (number 108-1080315-0302). Erasmus Ruchpen Family (ERF) was supported by grants from The Netherlands Organization for Scientific Research (NOW; Pionier Grant), Erasmus MC, and the Netherlands Genomics Initiative (NGI)–sponsored Center for Medical Systems Biology (CMSB). The Northern Swedish Population Health Study (NSPHS) was funded by the Swedish Medical Research Council (Project Number K2007-66X-20270-01-3) and the Foundation for Strategic Research (SSF). The KORA research platform was initiated and financed by the Helmholtz Center Munich, German Research Center for Environmental Health, which is funded by the German Federal Ministry of Education and Research (BMBF) and by the State of Bavaria. Part of this work was financed by the German National Genome Research Network (NGFN-2 and NGFNPlus: 01GS0823) and by the “Genomics of Lipid-associated Disorders - GOLD” of the “Austrian Genome Research Programme GEN-AU.” The KORA research was supported within the Munich Center of Health Sciences (MC Health) as part of LMUinnovativ. The Northern Finland Birth Cohort 1966 received financial support from the Academy of Finland (project grants 104781, 120315, 129269 (SALVE), 114194, and Center of Excellence in Complex Disease Genetics), University Hospital Oulu, Biocenter, University of Oulu, Finland, NHLBI grant 5R01HL087679 through the STAMPEED program (1RL1MH083268-01), ENGAGE project and grant agreement HEALTH-F4-2007-201413, the Medical Research Council (grant G0500539, centre grant G0600705, PrevMetSyn), and the Wellcome Trust (project grant GR069224), UK. The genotyping of NFBC1966 was funded by NHLBI grant 5R01HL087679, the Academy of Finland, and Biocentrum Helsinki. Helsinki Birth Cohort Study has been supported by grants from Academy of Finland (project numbers 114382, 126775, 127437, 129255, 129306, 130326, 209072, 210595, 213225, 216374), Finnish Diabetes Research Society, Samfundet Folkhälsan, Juho Vainio Foundation, Novo Nordisk Foundation, Finska Läkaresällskapet, Päivikki and Sakari Sohlberg Foundation, Signe and Ane Gyllenberg Foundation, and Yrjö Jahnsson Foundation. The Young Finns Study has been financially supported by the Academy of Finland (grants 126925, 121584, and 124282), Finnish Cultural Foundation, Emil Aaltonen Foundation, the Social Institution of Finland, Kuopio, Tampere (grants for TL and MK) and Turku University Hospital Medical Funds, Juho Vainio Foundation, Paavo Nurmi Foundation, Finnish Foundation of Cardiovascular Research (TL and OTR). The GenomEUtwin project is supported by the European Commission under the programme ‘Quality of Life and Management of the Living Resources’ of 5th Framework Programme (no. QLG2-CT-2002-01254). JK has been supported by the Academy of Finland Centre of Excellence in Complex Disease Genetics. The Swedish Twin Cohort has been financially supported by the Swedish Research Council and Swedish Foundation for Strategic Research. The Danish Twin Registry has been supported by the Danish Medical Research Council, the Danish Diabetes Foundation, the Danish Heart Association, and the Novo Nordic Foundation. The TWINSUK study was funded by the Wellcome Trust (Grant ref. 079771); European Community's Seventh Framework Programme (FP7/2007-2013)/grant agreement HEALTH-F2-2008-ENGAGE and Framework 6 Project EUroClot. The study also receives support from the National Institute for Health Research (NIHR) comprehensive Biomedical Research Centre award to Guy's and St Thomas' NHS Foundation Trust in partnership with King's College London. NS acknowledges financial support from the Wellcome Trust (Grant 091746/Z/10/Z). NTR, NTR2, and NLDTWIN funding was obtained from the Netherlands Organization for Scientific Research (NWO: MagW/ZonMW): Genetic basis of anxiety and depression (904-61-090); Genetics of individual differences in smoking initiation and persistence (NWO 985-10-002); Resolving cause and effect in the association between exercise and well-being (904-61-193); Twin family database for behavior genomics studies (480-04-004); Twin research focusing on behavior (400-05-717); Genetic determinants of risk behavior in relation to alcohol use and alcohol use disorder (Addiction-31160008); Genotype/phenotype database for behavior genetic and genetic epidemiological studies (911-09-032); Spinozapremie (SPI 56-464-14192); CMSB: Center for Medical Systems Biology (NWO Genomics); NBIC/BioAssist/RK/2008.024); BBMRI –NL: Biobanking and Biomolecular Resources Research Infrastructure; the VU University: Institute for Health and Care Research (EMGO+) and Neuroscience Campus Amsterdam (NCA); the European Science Foundation (ESF): Genomewide analyses of European twin and population cohorts (EU/QLRT-2001-01254); European Community's Seventh Framework Program (FP7/2007-2013): ENGAGE (HEALTH-F4-2007-201413); the European Science Council (ERC) Genetics of Mental Illness (230374); Rutgers University Cell and DNA Repository cooperative agreement (NIMH U24 MH068457-06); Collaborative study of the genetics of DZ twinning (NIH R01D0042157-01A); the Genetic Association Information Network, a public–private partnership between the NIH and Pfizer, Affymetrix, and Abbott Laboratories. The generation and management of GWAS genotype data for the Rotterdam Study is supported by the Netherlands Organisation of Scientific Research NWO Investments (nr. 175.010.2005.011, 911-03-012). This study is funded by the Research Institute for Diseases in the Elderly (014-93-015; RIDE2), the Netherlands Genomics Initiative (NGI)/Netherlands Organisation for Scientific Research (NWO) project nr. 050-060-810. The Rotterdam Study is funded by Erasmus Medical Center and Erasmus University, Rotterdam, Netherlands Organization for the Health Research and Development (ZonMw), the Research Institute for Diseases in the Elderly (RIDE), the Ministry of Education, Culture and Science, the Ministry for Health, Welfare and Sports, the European Commission (DG XII), and the Municipality of Rotterdam. The LifeLines Cohort Study, and generation and management of GWAS genotype data for the LifeLines Cohort Study is supported by the Netherlands Organization of Scientific Research NWO (grant 175.010.2007.006), the Economic Structure Enhancing Fund (FES) of the Dutch government, the Ministry of Economic Affairs, the Ministry of Education, Culture and Science, the Ministry for Health, Welfare and Sports, the Northern Netherlands Collaboration of Provinces (SNN), the Province of Groningen, University Medical Center Groningen, the University of Groningen, Dutch Kidney Foundation and Dutch Diabetes Research Foundation. PREVEND genetics is supported by the Dutch Kidney Foundation (Grant E033), the EU project grant GENECURE (FP-6 LSHM CT 2006 037697), the National Institutes of Health (grant LM010098), The Netherlands organisation for health research and development (NWO VENI grant 916.761.70), and the Dutch Inter UniversityCardiology Institute Netherlands (ICIN). EGCUT was supported by the Estonian Ministry of E&R (SF0180142s08), EU FP7 OPENGENE (#245536) and ENGAGE (201413), by EurRDF grant to the Centre of Excellence in Genomics, Estonian Biocentre and University of Tartu and by Estoinian Research Infrastructure's Roadmap. Genmets was supported through funds from The European Community's Seventh Framework Programme (FP7/2007-2013), BioSHaRE Consortium, grant agreement 261433. VS was supported by the Sigrid Juselius Foundation, Finnish Foundation for Cardiovascular research, and the Finnish Academy (grant number 129494). The CoLaus study received financial contributions from GlaxoSmithKline, the Faculty of Biology and Medicine of Lausanne, and the Swiss National Science Foundation (33CSCO-122661). EPIC–Norfolk is supported by programme grants from the Medical Research Council UK (G9502233, G0300128) and Cancer Research UK (C865/A2883). Adipose Tissue eQTL dataset has been funded by Finnish Foundation for Cardiovascular Research, Helsinki University, Sigrid Juselius Foundation Central Hospital Research Foundation. Metabonomic datasets are supported by the Academy of Finland (grant number 137870 to PS) and the Responding to Public Health Challenges Research Programme of the Academy of Finland (grant number 129429 to MA-K), the Finnish Cardiovascular Research Foundation
(MA-K), and the Jenny and Antti Wihuri Foundation (AJK). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","18947;20270;79771;91746;14192;37697",91746,"Genomics of quantitative variation."
"10.1371/journal.pgen.1002341","2011-10-27","Association of NCF2, IKZF1, IRF8, IFIH1, and TYK2 with Systemic Lupus Erythematosus","Funding for the project was provided by the Wellcome Trust (http://www.wellcome.ac.uk/) (Grant number 085492) and Arthritis Research UK (http://www.arthritisresearchuk.org/) (Grant number 17761). The generation of the Swedish genotype data in the Gateva et al. paper was performed using support from the Swedish Research Council (Grant numbers K2011-52X-12672-14-3 and K2009-52G-20947-01-3). Funding for the generation of the WTCCC2 out-of-study control genotypes was provided by the Wellcome Trust under award 076113. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","85492;17761;12672;20947;76113",85492,"Investigation of the lupus susceptibility gene, TNFSF4 (OX40L)."
"10.1371/journal.pgen.1002390","2011-12-15","Identification of Evolutionarily Conserved Exons as Regulated Targets for the Splicing Activator Tra2β in Development","This work was supported by the Wellcome Trust (Grant numbers WT080368MA and WT089225/Z/09/Z to DJE), the BBSRC (Grant numbers BB/D013917/1 and BB/I006923/1 to DJE), the Breast Cancer Campaign (to DJE), the Center of Molecular Medicine Cologne (CMMC) to BW [D7], the Deutsche Forschungsgemeinschaft to BW [Wi 945/12-3], European Commission FP7 EURASNET (to JS), and the Slovenian Research Agency to TC (grant number Z7-3665). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","89225",89225,"A combined transgenic and molecular approach to determine why the RNA binding protein hnRNP G-T is required for normal germ cell development."
