"","id","publication_date","financial_disclosure","title"
"286","10.1371/journal.pgen.1002003","2011-02-03T00:00:00Z","Wellcome Trust funded the study and also supported ACN. Additional support was provided by the Louis-Jeantet Foundation to ETD and ACN, the Wellcome Trust grant 077016/Z/05/Z, and the United Kingdom NIHR Cambridge Biomedical Research Centre to IB. JTB is a Wellcome Trust Henry Wellcome Fellow. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The Architecture of Gene Regulatory Variation across Multiple Human Tissues: The MuTHER Study"
"287","10.1371/journal.pcbi.1002381","2012-02-23T00:00:00Z","We are grateful to the Wellcome Trust (P21261, 091845) and the Medical Research Council (G0601072, G1001052) for funding. The funders had no role in the preparation of the manuscript.","The Efficiency of the Human CD8+ T Cell Response: How Should We Quantify It, What Determines It, and Does It Matter?"
"288","10.1371/journal.pntd.0002571","2013-11-21T00:00:00Z","This work was funded by grants from the Bill and Belinda Gates Foundation (www.gatesfoundation.org) (Global Health Grant no. OPPGH5337) and the Wellcome Trust (www.wellcome.ac.uk) (grant number 092573). The Wellcome Trust Centre for Molecular Parasitology is supported by core funding from the Wellcome Trust (grant number 085349). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Highly Sensitive In Vivo Imaging of Trypanosoma brucei Expressing “Red-Shifted” Luciferase"
"289","10.1371/journal.pone.0025523","2011-10-11T00:00:00Z","This research was supported by the Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","A Retrospective Analysis of the Haemodynamic and Metabolic Effects of Fluid Resuscitation in Vietnamese Adults with Severe Falciparum Malaria"
"290","10.1371/journal.pntd.0000854","2010-10-26T00:00:00Z","This work was supported by the Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Viral Etiology of Encephalitis in Children in Southern Vietnam: Results of a One-Year Prospective Descriptive Study"
"291","10.1371/journal.pgen.1003509","2013-05-23T00:00:00Z","The MalariaGEN Project was supported by the Wellcome Trust (http://www.wellcome.ac.uk/) (WT077383/Z/05/Z) and the Bill and Melinda Gates Foundation (http://www.grandchallenges.org/) through the Foundations of the National Institutes of Health (http://www.nih.gov/) (566) as part of the Grand Challenges in Global Health Initiative. The Resource Centre for Genomic Epidemiology of Malaria is supported by the Wellcome Trust (090770/Z/09/Z). This research was supported by the Medical Research Council (G0600718, G0600230) and the Wellcome Trust Biomedical Ethics Enhancement Award (087285) and Strategic Award (096527). DP Kwiatkowski receives support from the Medical Research Council (http://www.mrc.ac.uk/index.htm) (G19/9). The Wellcome Trust also provide core awards to Wellcome Trust Centre for Human Genetics (075491/Z/04; 090532/Z/09/Z) and the Wellcome Trust Sanger Institute (077012/Z/05/Z). CCA Spencer was supported by a Wellcome Trust Career Development Fellowship [097364/Z/11/Z]. JC Barrett is supported under Wellcome Trust grant number WT098051. TN Williams was supported under a Wellcome Trust Senior Fellowship (091758/Z/10/Z). This paper was published with the permission of the Director of KEMRI. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Imputation-Based Meta-Analysis of Severe Malaria in Three African Populations"
"292","10.1371/journal.pmed.1000301","2010-07-06T00:00:00Z","PWG is supported by the Wellcome Trust Senior Research Fellowship held by Dr Simon Hay at the University of Oxford, UK (#079091). EAO is supported by the Wellcome Trust as a Research Training Fellow (#086166). AMN is supported by the Wellcome Trust as a Research Training Fellow (#081829). RWS is supported by the Wellcome Trust as Principal Research Fellow (#079080). This work forms part of the output of the Malaria Atlas Project (MAP, http://www.map.ox.ac.uk), principally funded by the Wellcome Trust, UK. RWS and AMN also acknowledge support from the Kenya Medical Research Institute. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Estimating the Number of Paediatric Fevers Associated with Malaria Infection Presenting to Africa's Public Health Sector in 2007"
"293","10.1371/journal.pmed.1000048","2009-03-24T00:00:00Z","SIH is funded by a Senior Research Fellowship from the Wellcome Trust (number 079091), which also supports CAG, AJT, and PWG. AMN is supported by the Wellcome Trust as a Research Training Fellow (number 081829). BHM and IRFE acknowledge the support of the Li Ka Shing foundation. SB is funded by the Wellcome Trust as a Career Development Fellow (number 081673). RWS is a Wellcome Trust Principal Research Fellow (number 079080). This grant also supports APP. This work forms part of the output of the Malaria Atlas Project (MAP, http://www.map.ox.ac.uk), principally funded by the Wellcome Trust, U.K. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","A World Malaria Map: Plasmodium falciparum Endemicity in 2007"
"294","10.1371/journal.pntd.0002526","2013-11-14T00:00:00Z","This work was supported by funding from the Wellcome Trust through a programme grant to AT, AML and CMRT (074732/Z04/Z) and a project grant to JS (082786). AML is a Wellcome Trust Senior Fellow (095201/Z/10/Z), LML is a Royal Society University Research Fellow (UF090083) and CWD was supported by a Wellcome Trust PhD studentship (080553/Z/6/A). The Wellcome Trust Centre for Molecular Parasitology is supported by core funding from the Wellcome Trust (085349). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Population Genetics of Trypanosoma brucei rhodesiense: Clonality and Diversity within and between Foci"
"295","10.1371/journal.pone.0043987","2012-09-05T00:00:00Z","The MalariaGEN Project is supported by the Wellcome Trust (WT077383/Z/05/Z) and by the Foundation for the National Institutes of Health (566) as part of the Bill & Melinda Gates' Grand Challenges in Global Health Initiative. The Resource Centre for Genomic Epidemiology of Malaria is supported by the Wellcome Trust (090770/Z/09/Z). This research was supported by the Medical Research Council (G0600718; G0600230). The Wellcome Trust also provided core awards to the Wellcome Trust Centre for Human Genetics (075491/Z/04; 090532/Z/09/Z) and the Wellcome Trust Sanger Institute (077012/Z/05/Z). G0600230), the Wellcome Trust Biomedical ethics Enhancement Award (087285) and Strategic Award (096527). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Candidate Polymorphisms and Severe Malaria in a Malian Population"
"296","10.1371/journal.pone.0075675","2013-10-02T00:00:00Z","The MalariaGEN Project is supported by the Wellcome Trust (WT077383/Z/05/Z), and by the Foundation of the National Institutes of Health (566), as part of the Bill & Melinda Gates' Grand Challenges in Global Health Initiative. The Resource Centre for Genomic Epidemiology of Malaria is supported by the Wellcome Trust (090770/Z/09/Z). This research was supported by the Medical Research Council (G0600718; G0600230). The Wellcome Trust provides core awards to Wellcome Trust Centre for Human Genetics (075491/Z/04; 090532/Z/09/Z) and the Wellcome Trust Sanger Institute (098051). TGC is funded by the Medical Research Council and the Wellcome Trust. Sepulveda Nuno acknowledges partial funding from Fundacao para Ciencia e Tecnologia, Portugal, through the project Pest-OE/MAT/UI0006/2011. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Human Candidate Polymorphisms in Sympatric Ethnic Groups Differing in Malaria Susceptibility in Mali"
"297","10.1371/journal.pone.0036339","2012-04-30T00:00:00Z","This work was funded through a grant by the BBSRC (www.bbsrc.ac.uk)(BB/E009085/1) and Wellcome Trust (www.wellcome.ac.uk) VIP funding (092403/Z/10/Z) to AP, and FP7 Gencodys (Health-241995)(http://cordis.europa.eu/fetch?CALLER=FP7_PROJ_EN&ACTION=D&DOC=1&CAT=PROJ&RCN=94690) and NWO VIDI grants (http://www.nwo.nl/nwohome.nsf/pages/nwop_5vtgqw_eng) to AS. The EM Facilities used for this project are supported by grants from the BBSRC, The Wellcome Trust and the University of Manchester Strategic Fund. The Drosophila core facility is supported by the Wellcome Trust (www.wellcome.ac.uk)(087742/Z/08/Z). The publication costs were paid for by The Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Analysis of Adhesion Molecules and Basement Membrane Contributions to Synaptic Adhesion at the Drosophila Embryonic NMJ"
"298","10.1371/journal.pone.0055923","2013-02-19T00:00:00Z","This work was supported the Wellcome Trust (090532/Z/09/Z) and the European Community's Sixth Framework Programme, MolPAGE Consortium (LSHG-CT-2004-512066). The authors thank all contributing partners within the MolPAGE consortium. The Genomics Service Group at the Wellcome Trust Centre for Human Genetics performed SNP genotyping and Differential Methylation Hybridisation was carried out by Kurt Berlin, Florian Echkardt, and Matthias Schuster at Epigenomics AG, Germany. AWD is a Wellcome Trust Student (093933Z/10/Z). JTB was funded by Sir Henry Wellcome Trust postdoctoral fellowship. NS is supported by the Wellcome Trust (Core Grant Number 091746/Z/10/Z). MR is a MRC biomedical informatics fellow (Medical Research Council, fellowship G0802460). CML is a Wellcome Trust Research Career Development Fellow (086596/Z/08/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The Presence of Methylation Quantitative Trait Loci Indicates a Direct Genetic Influence on the Level of DNA Methylation in Adipose Tissue"
"299","10.1371/journal.pone.0013544","2010-10-21T00:00:00Z","This work was supported by the Health Research Council of New Zealand, Arthritis New Zealand, the Juvenile Diabetes Research Foundation International, the Wellcome Trust and the National Institute for Health Research Cambridge Biomedical Centre. The Cambridge Institute for Medical Research is in receipt of a Wellcome Trust Strategic Award (079895). The authors acknowledge use of DNA from the 1958 British Birth Cohort collection, funded by the Medical Research Council (grant G0000934) and the Wellcome Trust (grant 068545/Z/02). The authors acknowledge use of DNA from The UK Blood Services collection of Common Controls (UKBS collection), funded by the Wellcome Trust (grant 076113/C/04/Z), the Wellcome Trust/Juvenile Diabetes Research Foundation (grant 061858) and the National Institute of Health Research of England. The collection was established as part of the Wellcome Trust Case-Control Consortium. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The PTPN22 Locus and Rheumatoid Arthritis: No Evidence for an Effect on Risk Independent of Arg620Trp"
"300","10.1371/journal.pone.0027255","2011-11-15T00:00:00Z","This work was supported by The Wellcome Trust (http://www.wellcome.ac.uk/) and The Lord Dowding Fund (http://www.ldf.org.uk/research/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","BMI Not WHR Modulates BOLD fMRI Responses in a Sub-Cortical Reward Network When Participants Judge the Attractiveness of Human Female Bodies"
"301","10.1371/journal.pmed.1000178","2010-02-02T00:00:00Z","RAF and ELC are funded by the Wellcome Trust. The Wellcome Trust had no role in collection, analysis or interpretation of data or in the decision to submit the paper for publication. RAF had full access to all the data in the study and had final responsibility for the decision to submit for publication.","Causes of Acute Hospitalization in Adolescence: Burden and Spectrum of HIV-Related Morbidity in a Country with an Early-Onset and Severe HIV Epidemic: A Prospective Survey"
"302","10.1371/journal.pone.0073694","2013-09-19T00:00:00Z","This work was funded by a Wellcome Trust grant awarded to SP (Grant number: 090354/Z/09/Z). SDL is funded by the Wellcome Trust, (Grant #088590). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Retinal Nerve Fibre Layer Thickness and Contrast Sensitivity in HIV-Infected Individuals in South Africa: A Case-Control Study"
"303","10.1371/journal.pone.0013706","2010-11-10T00:00:00Z","Emily A. Holmes has received fellowship funding from the Royal Society and the Wellcome Trust. Ella L. James was supported by a Wellcome Trust Vacation Scholarship and a Colt Foundation Fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Key Steps in Developing a Cognitive Vaccine against Traumatic Flashbacks: Visuospatial Tetris versus Verbal Pub Quiz"
"304","10.1371/journal.pone.0020541","2011-06-08T00:00:00Z","This study was funded by The Wellcome Trust project grant no. 07853/Z/05/Z (www.wellcome.ac.uk) and The Medical Research Council UK, grant no. G0801971 (www.mrc.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Anti-Inflammatory Cytokines Predominate in Acute Human Plasmodium knowlesi Infections"
"305","10.1371/journal.pone.0067069","2013-06-26T00:00:00Z","This work was supported by a Wellcome Trust Programme grant to KM and by a Wellcome Trust Strategic award to the Centre for Immunity, Infection and Evolution at the University of Edinburgh. SM was supported by a studentship from the Medical Research Council, UK. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Regulation of Trypanosoma brucei Total and Polysomal mRNA during Development within Its Mammalian Host"
"306","10.1371/journal.pone.0010264","2010-04-22T00:00:00Z","This work was supported by Cancer Research UK (www.cancer.org.uk), the Medical Research Council (www.mrc.ac.uk), the Wellcome Trust (www.wellcome.ac.uk), and Fp6 Endotrack (www.endotrack.org). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Critical Role of FLRT1 Phosphorylation in the Interdependent Regulation of FLRT1 Function and FGF Receptor Signalling"
"307","10.1371/journal.pone.0013669","2010-10-27T00:00:00Z","The work was supported by the United Kingdom Medical Research Council, Wellcome Trust, EU FP6 (SIROCCO), AstraZeneca, Boehringer Ingelheim, GlaxoSmithKline, Merck-Serono, and Pfizer. GH holds a Wellcome Trust Career Development Fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Regulation of miRNA Transcription in Macrophages in Response to Candida albicans"
"308","10.1371/journal.pone.0030481","2012-01-17T00:00:00Z","This work was supported by National Centre for Biological Sciences (NCBS) and grant GR 0701339 MA from the Wellcome Trust, UK (http://www.wellcome.ac.uk/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Stress Leads to Contrasting Effects on the Levels of Brain Derived Neurotrophic Factor in the Hippocampus and Amygdala"
"309","10.1371/journal.pone.0080752","2013-11-05T00:00:00Z","This work was funded by research grant 08836/Z/09/Z from the Wellcome Trust (www.wellcome.ac.uk) and BBSRC-funded PhD studentships to WG and MT. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The Exosome Cofactor Rrp47 Is Critical for the Stability and Normal Expression of Its Associated Exoribonuclease Rrp6 in Saccharomyces cerevisiae"
"310","10.1371/journal.pone.0040464","2012-07-05T00:00:00Z","This research was supported by The Wellcome Trusts Grants 076456/Z/05/Z and 090812/Z/09/Z, and the Czech Science Foundation P305-11-0172 (http://www.wellcome.ac.uk/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Small Ribosomal Protein RPS0 Stimulates Translation Initiation by Mediating 40S-Binding of eIF3 via Its Direct Contact with the eIF3a/TIF32 Subunit"
"311","10.1371/journal.pone.0037326","2012-05-16T00:00:00Z","This work was funded by Wellcome Trust Programme Grant numbers 053335/Z/98/Z and 082498/Z/07/Z (www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Delayed Retention of New Word-Forms Is Better in Children than Adults Regardless of Language Ability: A Factorial Two-Way Study"
"312","10.1371/journal.pmed.1001023","2011-04-19T00:00:00Z","The funding for the CENEX study was provided by The Wellcome Trust (Grant number 075219; www.wellcome.ac.uk) and by in-kind contributions from the Ministry of Health Chile. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Effect of a Nutrition Supplement and Physical Activity Program on Pneumonia and Walking Capacity in Chilean Older People: A Factorial Cluster Randomized Trial"
"313","10.1371/journal.pone.0047138","2012-10-15T00:00:00Z","The funders for this study are the MRC who support Tamara Shiner with a clinical research training fellowship grant and the Wellcome trust who support RD with a Wellcome Trust Programme Grant. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The Effect of Motivation on Movement: A Study of Bradykinesia in Parkinson’s Disease"
"314","10.1371/journal.pone.0055067","2013-01-25T00:00:00Z","NO and NM were supported by funds from a Wellcome Trust Strategic Award (#084538). ME is supported by a Wellcome Trust Senior Fellowship (#076827). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. All authors carried out this research independently of the funding body.","Comparison of Alternative Evidence Summary and Presentation Formats in Clinical Guideline Development: A Mixed-Method Study"
"315","10.1371/journal.pone.0054894","2013-02-11T00:00:00Z","This work was supported by the Wellcome Trust, United Kingdom (WT085418 to S.M.) (http://www.wellcome.ac.uk), and Medical Research Council, United Kingdom (G0801439 to K.M.) (http://www.mrc.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","‘The Words Will Pass with the Blowing Wind’: Staff and Parent Views of the Deferred Consent Process, with Prior Assent, Used in an Emergency Fluids Trial in Two African Hospitals"
"316","10.1371/journal.pntd.0000460","2009-10-27T00:00:00Z","MJB is supported by the Wellcome Trust. DCWM's research on trachoma is supported by the Wellcome Trust, the Bill & Melinda Gates Foundation, and the European Union, through the EpiGenChlamydia Consortium. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The Global Burden of Trachoma: A Review"
"317","10.1371/journal.pone.0031763","2012-02-22T00:00:00Z","The work was funded by a Wellcome Trust Arts Award and a related Extension Award, respectively WT089550A and WT089550Z (http://www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","AVPR1A and SLC6A4 Polymorphisms in Choral Singers and Non-Musicians: A Gene Association Study"
"318","10.1371/journal.ppat.1000518","2009-07-17T00:00:00Z","This work was supported by a Wellcome Trust fellowship (www.wellcome.ac.uk) to WW (grant number 078400/Z/05/Z) and a joint BBSRC grant (www.bbsrc.ac.uk) to NW and RffC (grant number BB/E021328/1). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Drosophila Embryos as Model Systems for Monitoring Bacterial Infection in Real Time"
"319","10.1371/journal.pone.0011320","2010-06-28T00:00:00Z","The Karonga Prevention Study is funded primarily by the Wellcome Trust (www.wellcome.ac.uk), with contributions from LEPRA (The British Leprosy Relief Association, www.lepra.org.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Child Mortality in Rural Malawi: HIV Closes the Survival Gap between the Socio-Economic Strata"
"320","10.1371/journal.pone.0035167","2012-04-12T00:00:00Z","MC was funded by the Wellcome Trust, Grant Number 085956/Z/08/Z. JS was supported by a BBSRC (Biotechnology and Biological Sciences Research Council) studentship. BW and KG were funded by the Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","A New Generation of T7 RNA Polymerase-Independent Inducible Expression Plasmids for Trypanosoma brucei"
"321","10.1371/journal.pcbi.1002877","2013-02-14T00:00:00Z","We acknowledge funding from Studienstiftung des deutschen Volkes, EPSRC, The Leverhulme Trust, HFSP, The Wellcome Trust, and GlaxoSmithKline. We also acknowledge funding from the Wellcome Trust core grant. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Multi-Population Classical HLA Type Imputation"
"322","10.1371/journal.pone.0050765","2013-01-18T00:00:00Z","This study is supported by the Thailand Research Fund (TRG5380004), Faculty of Tropical Medicine, Mahidol University and the Wellcome Trust Mahidol University Oxford Tropical Medicine Research Programme, supported by the Wellcome Trust of Great Britain. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Estimating the True Accuracy of Diagnostic Tests for Dengue Infection Using Bayesian Latent Class Models"
"323","10.1371/journal.pgen.1003057","2012-11-15T00:00:00Z","This work was funded by grants from the European Research Council (281668; erc.europa.eu) and the Wellcome Trust (www.wellcome.ac.uk/; WT081279). FMJ is supported by a Royal Society University Research Fellowship (royalsociety.org). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Genome-Wide Association Studies Reveal a Simple Genetic Basis of Resistance to Naturally Coevolving Viruses in Drosophila melanogaster"
"324","10.1371/journal.pgen.1002970","2012-10-04T00:00:00Z","This work was supported by the Wellcome Trust (http://www.wellcome.ac.uk) under programme grant 083573/Z/07/Z. MG and CPP were funded by the UK Medical Research Council. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Cofilin-1: A Modulator of Anxiety in Mice"
"325","10.1371/journal.pone.0067177","2013-06-28T00:00:00Z","This work was supported by EuropeAID (SANTE/2006/105-066; http://ec.europa.eu/europeaid/index_en.htm), and Wellcome Trust (076943/Z/05/Z to HM; www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Two Doses of Candidate TB Vaccine MVA85A in Antiretroviral Therapy (ART) Naïve Subjects Gives Comparable Immunogenicity to One Dose in ART+ Subjects"
"326","10.1371/journal.pcbi.1002921","2013-02-28T00:00:00Z","This work was supported by a Programme Grant (G083305) from the Wellcome Trust (http://www.wellcome.ac.uk/) to DJW, IDT, Stephen Eglen and Uwe Drescher. DL was supported by a Medical Research Council (UK) Studentship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Standard Anatomical and Visual Space for the Mouse Retina: Computational Reconstruction and Transformation of Flattened Retinae with the Retistruct Package"
"327","10.1371/journal.pmed.1001121","2011-11-08T00:00:00Z","This study was funded by the Wellcome Trust (project grant 065810/Z/01/Z) http://www.wellcome.ac.uk/Funding/International/Global-health-research/index.htm. No funding bodies had any role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Post-neonatal Mortality, Morbidity, and Developmental Outcome after Ultrasound-Dated Preterm Birth in Rural Malawi: A Community-Based Cohort Study"
"328","10.1371/journal.pone.0010392","2010-04-28T00:00:00Z","This work was supported by the Stanley Foundation (http://www.stanleyfoundation.org/), the Wellcome Trust (http://www.wellcome.ac.uk/) and the Medical Research Council (http://www.mrc.ac.uk/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Expression of the Rap1 Guanine Nucleotide Exchange Factor, MR-GEF, Is Altered in Individuals with Bipolar Disorder"
"329","10.1371/journal.pone.0044250","2012-09-10T00:00:00Z","This work was supported by the MLW Clinical Research Programme Core Grant (award no: 084679/Z/08/Z) from the Wellcome Trust and funding to the Sanger Institute from the Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Genetic Characterisation of Malawian Pneumococci Prior to the Roll-Out of the PCV13 Vaccine Using a High-Throughput Whole Genome Sequencing Approach"
"330","10.1371/journal.pmed.1001398","2013-03-05T00:00:00Z","This research was a part of the Wellcome Trust Mahidol University Oxford Tropical Medicine Research Programme, supported by the Wellcome Trust of Great Britain (Major Overseas Programme—Thailand Unit Core Grant). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Malaria Burden and Artemisinin Resistance in the Mobile and Migrant Population on the Thai–Myanmar Border, 1999–2011: An Observational Study"
"331","10.1371/journal.pone.0041119","2012-07-19T00:00:00Z","This work was supported by funding from the Wellcome Trust (Program Grant number 080566/Z/06/Z) http://www.wellcome.ac.uk/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Cytosolic Entry of Shiga-Like Toxin A Chain from the Yeast Endoplasmic Reticulum Requires Catalytically Active Hrd1p"
"332","10.1371/journal.pone.0021042","2011-06-14T00:00:00Z","This work was supported by a Wellcome Trust Career Development Fellowship (Grant No. 068026) to EDC. SMG and MEM were recipients of Wellcome Trust funding (core grant 074124/Z/04/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","PCR Improves Diagnostic Yield from Lung Aspiration in Malawian Children with Radiologically Confirmed Pneumonia"
"333","10.1371/journal.pone.0047622","2012-11-05T00:00:00Z","This work was supported by a Senior Research Fellowship (#076827) awarded by the Wellcome Trust (United Kingdom) to ME. EO is a Wellcome Trust Research Training Fellow (#086166). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Variations in Mortality in Children Admitted with Pneumonia to Kenyan Hospitals"
"334","10.1371/journal.pone.0024383","2011-09-13T00:00:00Z","The authors are grateful to The Wellcome Trust (http://www.wellcome.ac.uk/) for financial support, through project grant number 085937/Z/08/Z. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Differences in Disease Severity but Similar Telomere Lengths in Genetic Subgroups of Patients with Telomerase and Shelterin Mutations"
"335","10.1371/journal.pone.0064202","2013-05-09T00:00:00Z","This work was supported by The Wellcome Trust (Grant Numbers AL087751/B to SG and 087751/A/08/Z to RER). (http://www.wellcome.ac.uk/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","LGP2 Plays a Critical Role in Sensitizing mda-5 to Activation by Double-Stranded RNA"
"336","10.1371/journal.pone.0051405","2012-12-10T00:00:00Z","SP and SDL are funded by the Wellcome Trust (Grants 090354/Z/09/Z to SP and 088590 to SDL) (www.wellcome.ac.uk). TP is funded by NIHR Biomedical Research Centre at Moorfield’s Eye Hospital and Institute of Ophthalmology. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Retinal Arterioles Narrow with Increasing Duration of Anti-Retroviral Therapy in HIV Infection: A Novel Estimator of Vascular Risk in HIV?"
"337","10.1371/journal.ppat.1000128","2008-08-15T00:00:00Z","SCG is a Nuffield Medical Fellow, DIS an MRC Research Professor and GLS a Wellcome Trust Principal Research Fellow. This work was supported by grants from the Medical Research Council UK, the Wellcome Trust and the European Commission (contract numbers QLG2-CT-2002-00988 [SPINE] and LSHGCT-2006-031220 [SPINE2-Complexes]).","Vaccinia Virus Proteins A52 and B14 Share a Bcl-2–Like Fold but Have Evolved to Inhibit NF-κB rather than Apoptosis"
"338","10.1371/journal.ppat.1000666","2009-11-20T00:00:00Z","This work was supported by the The Wellcome Trust (080229/Z/06/Z) (www.wellcome.ac.uk) and the Medical Research Council of Great Britain (G9824728) (www.mrc.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Glypican-1 Mediates Both Prion Protein Lipid Raft Association and Disease Isoform Formation"
"339","10.1371/journal.pone.0054714","2013-01-18T00:00:00Z","The study was funded by the Wellcome Trust (090219/Z/09/Z). Sharon Peacock receives funding from the Wellcome Trust, the NIHR Cambridge Biomedical Research Center, the UKCRC TIRI, and the Health Protection Agency. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Epidemiology, Microbiology and Mortality Associated with Community-Acquired Bacteremia in Northeast Thailand: A Multicenter Surveillance Study"
"340","10.1371/journal.pone.0018144","2011-03-29T00:00:00Z","This work was funded by the Wellcome Trust (081203/Z/06/Z), wellcome.ac.uk, and Breast Cancer campaign (2006NovPHD12), breastcancercampaign.org.   The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Cellular Microenvironment Influences the Ability of Mammary Epithelia to Undergo Cell Cycle"
"341","10.1371/journal.pone.0051425","2012-12-17T00:00:00Z","This work was supported by a grant to NAW and RSH by the Wellcome Trust “083603/A/07/Z” (United Kingdom), a core programme grant to RSH by the Wellcome Trust “084679/Z/08/Z” (United Kingdom). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Regulation of Naturally Acquired Mucosal Immunity to Streptococcus pneumoniae in Healthy Malawian Adults and Children"
"342","10.1371/journal.ppat.1000218","2008-11-28T00:00:00Z","This work was funded by The Wellcome Trust, The Medical Research Council United Kingdom, EPA Cephalosporin Scholarship, and Henry Goodger Scholarship. Gordon D. Brown is a Wellcome Trust International Senior Research Fellow in Biomedical Science in South Africa. Philip R. Taylor is a Medical Research Council Senior Non-Clinical Fellow (grant G0601617).","Stage-Specific Sampling by Pattern Recognition Receptors during Candida albicans Phagocytosis"
"343","10.1371/journal.pone.0054878","2013-02-22T00:00:00Z","The study was funded by the Wellcome Trust (http://www.wellcome.ac.uk/), grant number 086105/Z/08/Z – the PREP (Patient Record Enhancement Project) study. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Optimising Use of Electronic Health Records to Describe the Presentation of Rheumatoid Arthritis in Primary Care: A Strategy for Developing Code Lists"
"344","10.1371/journal.pone.0054871","2013-01-23T00:00:00Z","This work was supported by funding from the Biotechnology and Biological Sciences Research Council (www.bbsrc.ac.uk) and The Wellcome Trust (www.wellcome.ac.uk) to MJH and BJW. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Selective Expansion of Viral Variants following Experimental Transmission of a Reconstituted Feline Immunodeficiency Virus Quasispecies"
